20:28:29.349303 config: drop-rate=0.00, max-delay=0s, seed=1574990909348804200
20:28:29.351798 router is listening at :3000
20:29:06.774517 [queue=0] packet #100, 127.0.0.1:59897 -> 127.0.0.1:8000, sz=0 is delivered
20:29:06.792983 [queue=0] packet #1000, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.794479 [queue=0] packet #1001, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.795977 [queue=0] packet #1002, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.796478 [queue=0] packet #1003, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.796974 [queue=0] packet #1004, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.796974 [queue=0] packet #1005, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.797475 [queue=0] packet #1006, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.797973 [queue=0] packet #1007, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.798471 [queue=0] packet #1008, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.798471 [queue=0] packet #1009, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.798970 [queue=0] packet #1010, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.799471 [queue=0] packet #1011, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.799969 [queue=0] packet #1012, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.799969 [queue=0] packet #1000, 127.0.0.1:59897 -> 127.0.0.1:8000, sz=9 is delivered
20:29:06.802465 [queue=0] packet #1013, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.803462 [queue=0] packet #1014, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
20:29:06.804460 [queue=0] packet #1015, 127.0.0.1:8000 -> 127.0.0.1:59897, sz=11 is delivered
